id,icao,lat,long,elev
186,KZPH,28.23,-82.15,26
187,KZER,40.7,-76.37,518
188,KY70,42.93,-85.07,247
189,KY63,45.98,-96,367
190,KY51,43.58,-90.9,390
191,KY49,47.15,-94.65,413
192,KY31,44.25,-84.18,264
193,KY23,45.3,-91.63,322
194,KY19,46.77,-100.9,591
195,KXSA,37.87,-76.9,41
196,KXNX,36.38,-86.42,178
197,KXLL,40.57,-75.48,118
198,KX60,29.35,-82.47,21
199,KX07,27.9,-81.62,36
200,KWWR,36.45,-99.52,664
201,KWDR,33.98,-83.67,280
202,KW96,37.5,-77.12,35
203,KW81,37.18,-78.1,121
204,KW78,36.7,-78.85,120
205,KW75,37.6,-76.45,8
206,KW63,36.6,-78.55,126
207,KW43,44.67,-104.57,1292
208,KW31,36.95,-78.18,159
209,KW22,39,-80.27,497
210,KVYS,41.35,-89.15,198
211,KVWU,48.15,-94.52,359
212,KVVV,45.3,-96.42,334
213,KVVS,39.95,-79.65,386
214,KVTP,37.5,-105.17,3086
215,KVTI,42.22,-92.02,256
216,KVPC,34.1,-84.85,234
217,KVNW,40.87,-84.62,238
218,KVNC,27.07,-82.43,4
219,KVLL,42.55,-83.18,214
220,KVKY,29.25,-88.43,32
221,KVHN,31.07,-104.78,1200
222,KVGC,42.85,-75.57,346
223,KVER,38.95,-92.68,209
224,KVDI,32.2,-82.37,81
225,KVDF,28.02,-82.33,5
226,KVCV,34.58,-117.38,871
227,KVBW,38.37,-78.97,362
228,KVAF,27.35,-94.63,38
229,KUYF,39.93,-83.47,326
230,KUXL,30.13,-93.38,2
231,KUVA,29.22,-99.75,285
232,KUUV,38.23,-91.17,284
233,KUTA,34.68,-90.35,58
234,KUSE,41.62,-84.13,237
235,KUOX,34.38,-89.53,123
236,KUNU,43.42,-88.7,281
237,KUNI,39.22,-82.23,232
238,KUMP,39.93,-86.05,247
239,KULM,44.32,-94.5,305
240,KUKT,40.43,-75.38,156
241,KUKL,38.3,-95.73,357
242,KUCY,36.38,-88.98,97
243,KUBE,45.5,-91.98,376
244,KU69,40.2,-110.38,1776
245,KU68,44.92,-108.45,1244
246,KU64,,,
247,KU55,37.85,-112.38,2060
248,KU42,40.62,-111.98,1399
249,KTYQ,40.03,-86.25,279
250,KTYL,34.45,-110.12,1748
251,KTXW,26.18,-97.97,21
252,KTWT,37.55,-87.95,113
253,KTWM,47.05,-91.75,331
254,KTVY,40.62,-112.35,1310
255,KTVK,40.68,-92.9,311
256,KTVI,30.9,-83.88,74
257,KTTF,41.93,-83.42,186
258,KTSP,35.13,-118.43,1209
259,KTQV,36,-78.93,230
260,KTQK,38.47,-100.88,906
261,KTQH,35.93,-95,265
262,KTPF,27.92,-82.45,1
263,KTOC,34.6,-83.3,292
264,KTOB,44.02,-92.82,394
265,KTNU,41.67,-93.02,287
266,KTNB,36.2,-81.65,958
267,KTMT,39.47,-117.2,1748
268,KTME,29.8,-95.9,49
269,KTMA,31.43,-83.48,105
270,KTKX,36.22,-90.03,73
271,KTKV,45.47,-89.82,449
272,KTKC,44.25,-95.62,408
273,KTIP,40.28,-88.15,224
274,KTIF,41.97,-100.57,888
275,KTHA,35.38,-86.25,333
276,KTEX,37.95,-107.9,2760
277,KTEW,42.57,-84.42,281
278,KTCY,37.68,-121.43,51
279,KTBX,43.47,-108.23,2230
280,KTBR,32.48,-81.73,54
281,KTAZ,39.53,-89.33,188
282,KT89,29.27,-103.68,801
283,KT82,30.25,-98.92,509
284,KT78,30.08,-94.7,21
285,KT74,30.57,-97.45,169
286,KT69,28.03,-97.55,15
287,KT35,30.88,-96.97,122
288,KT20,29.52,-97.47,107
289,KSZY,35.2,-88.5,184
290,KSZT,48.3,-116.57,649
291,KSYN,44.47,-93.02,280
292,KSYM,38.22,-83.58,307
293,KSYI,35.57,-86.45,244
294,KSYF,39.77,-101.8,1041
295,KSXU,34.93,-104.65,1465
296,KSXK,42.98,-96.17,430
297,KSWW,32.47,-100.47,718
298,KSVE,40.37,-120.57,1263
299,KSVC,32.63,-108.15,1638
300,KSUZ,34.58,-92.48,114
301,KSUW,46.68,-92.1,205
302,KSTK,40.62,-103.27,1228
303,KSTF,33.43,-88.85,99
304,KSTE,44.55,-89.53,335
305,KSRR,33.47,-105.52,2063
306,KSRE,35.27,-96.68,306
307,KSRB,36.05,-85.53,303
308,KSPF,44.47,-103.78,1191
309,KSPA,34.92,-81.95,242
310,KSOW,34.27,-110,1954
311,KSOA,30.58,-100.65,654
312,KSNL,35.35,-96.95,327
313,KSNK,32.7,-100.95,738
314,KSNC,41.38,-72.5,114
315,KSMS,34,-80.37,53
316,KSME,37.05,-84.62,279
317,KSMD,41.15,-85.15,252
318,KSLR,33.17,-95.62,144
319,KSLH,45.65,-84.52,193
320,KSLB,42.6,-95.23,450
321,KSJX,45.7,-85.57,202
