id,icao,lat,long,elev
786,KF00,33.62,-96.18,189
787,KEZZ,39.72,-94.28,317
788,KEZS,44.78,-88.57,247
789,KEZM,32.22,-83.13,86
790,KEZF,38.27,-77.45,26
791,KEVU,40.35,-94.92,351
792,KEVM,47.42,-92.5,419
793,KETB,43.42,-88.13,269
794,KERY,46.3,-85.45,261
795,KERV,29.98,-99.08,483
796,KEQA,37.78,-96.82,422
797,KEOK,40.47,-91.42,206
798,KEOE,34.32,-81.63,166
799,KENL,38.52,-89.1,161
800,KEMV,36.68,-77.48,35
801,KEMM,41.82,-110.55,2219
802,KELO,47.82,-91.83,438
803,KELK,35.43,-99.4,603
804,KEKX,37.68,-85.92,234
805,KEKS,45.27,-111.65,1636
806,KEKM,41.72,-86,236
807,KEKE,28.5,-91.58,31
808,KEIK,40.02,-105.05,1551
809,KEHA,37,-101.87,1103
810,KEGV,45.93,-89.27,499
811,KEGT,37.32,-97.38,387
812,KEFT,42.62,-89.6,332
813,KEFK,44.88,-72.23,282
814,KEDU,38.53,-121.78,20
815,KEDN,31.3,-85.9,103
816,KEDJ,40.37,-83.82,341
817,KECU,29.95,-100.17,725
818,KECS,43.88,-104.32,1273
819,KEBS,42.43,-93.87,340
820,KEBG,26.45,-98.13,21
821,KEBA,34.1,-82.82,180
822,KE42,36.22,-101.2,942
823,KE41,31.2,-101.47,825
824,KE38,30.38,-103.68,1372
825,KE16,37.08,-121.6,84
826,KE11,32.33,-102.53,966
827,KDZJ,34.85,-84,578
828,KDZB,30.53,-98.37,329
829,KDYT,46.72,-92.03,185
830,KDYB,33.07,-80.28,15
831,KDYA,32.47,-87.95,33
832,KDXX,44.98,-96.18,327
833,KDWX,41.03,-107.5,1974
834,KDWA,38.58,-121.85,28
835,KDVO,38.15,-122.55,1
836,KDUX,35.85,-102.02,1129
837,KDUH,41.73,-83.65,203
838,KDUC,34.47,-97.97,339
839,KDUA,33.95,-96.4,209
840,KDTL,46.82,-95.88,425
841,KDTA,39.38,-112.5,1452
842,KDRM,46,-83.75,201
843,KDRI,30.83,-93.33,59
844,KDQH,31.48,-82.87,76
845,KDNV,40.2,-87.6,208
846,KDNN,34.72,-84.87,216
847,KDNA,31.88,-106.7,1254
848,KDLZ,40.28,-83.12,287
849,KDLP,29.12,-89.55,31
850,KDLO,35.75,-119.23,97
851,KDLL,43.52,-89.77,297
852,KDKX,35.97,-83.87,253
853,KDKR,31.3,-95.4,105
854,KDEH,43.27,-91.73,348
855,KDCY,38.7,-87.13,143
856,KDBN,32.57,-82.98,90
857,KD95,43.07,-83.27,253
858,KD73,33.78,-83.7,254
859,KD60,48.38,-102.9,682
860,KD57,46.82,-101.87,636
861,KD55,48.75,-98.4,488
862,KD50,48.93,-103.3,591
863,KD39,45.7,-94.93,378
864,KD25,46.12,-89.88,490
865,KCZT,28.52,-99.82,176
866,KCZL,34.47,-84.93,197
867,KCYD,28.17,-89.22,30
868,KCXU,31.22,-84.23,48
869,KCXP,39.18,-119.73,1431
870,KCXE,36.78,-78.5,154
871,KCWV,32.2,-81.87,32
872,KCWC,33.85,-98.48,304
873,KCVX,45.3,-85.27,196
874,KCVH,36.9,-121.42,68
875,KCVC,33.63,-83.85,240
876,KCUH,35.95,-96.77,274
877,KCTY,29.63,-83.1,12
878,KCTJ,33.63,-85.15,351
879,KCSQ,41.02,-94.37,394
880,KCRX,34.92,-88.6,128
881,KCQW,34.72,-79.95,67
882,KCQF,30.47,-87.88,21
883,KCQB,35.72,-96.82,298
884,KCPW,37.45,-106.8,3570
885,KCPT,32.35,-97.43,260
886,KCPK,36.67,-76.32,4
887,KCPF,37.38,-83.27,382
888,KCOQ,46.7,-92.5,390
889,KCOM,31.83,-99.4,516
890,KCNI,34.32,-84.42,371
891,KCNC,41.02,-93.37,319
892,KCNB,44.73,-96.27,363
893,KCMR,35.3,-112.2,2039
894,KCMD,34.27,-86.85,294
895,KCLW,27.98,-82.75,21
896,KCLS,46.68,-122.98,52
897,KCLK,35.53,-98.93,489
898,KCLI,44.62,-88.73,248
899,KCKZ,40.38,-75.28,160
900,KCKP,42.73,-95.55,369
901,KCKN,47.85,-96.62,272
902,KCKM,34.3,-90.52,52
903,KCKI,33.72,-79.85,19
904,KCKF,31.98,-83.77,92
905,KCJR,38.53,-77.87,90
906,KCIR,37.07,-89.22,96
907,KCIN,42.03,-94.78,365
908,KCHK,35.1,-97.97,346
909,KCGC,28.87,-82.57,3
910,KCFS,43.47,-83.45,214
911,KCFJ,39.98,-86.92,243
912,KCFE,45.17,-93.85,292
913,KCFD,30.72,-96.33,106
914,KCEY,36.67,-88.37,172
915,KCDN,34.28,-80.57,90
916,KCDI,39.97,-81.58,241
917,KCDH,33.62,-92.77,38
918,KCDA,44.57,-72.02,357
919,KCCY,43.07,-92.62,340
920,KCCU,39.48,-106.15,3672
921,KCCO,33.32,-84.77,290
922,KCCB,34.12,-117.68,440
923,KCCA,35.6,-92.45,152
924,KCBG,45.57,-93.27,285
925,KCBF,41.27,-95.77,379
926,KCAV,42.75,-93.77,352
927,KCAD,44.27,-85.42,397
928,KC99,39.87,-105.55,3334
929,KC83,37.83,-121.62,16
930,KC75,41.02,-89.38,166
931,KC65,41.37,-86.3,241
932,KC62,41.47,-85.25,304
933,KC35,43.53,-89.98,272
934,KC29,43.12,-89.53,282
935,KC09,41.43,-88.42,179
936,KBYY,28.97,-95.87,12
937,KBYL,36.8,-84.2,355
938,KBXK,33.42,-112.68,303
939,KBWW,46.17,-103.3,911
940,KBWP,46.25,-96.62,294
941,KBVU,35.95,-114.87,654
942,KBVS,48.47,-122.42,31
943,KBVN,41.73,-98.05,547
944,KBVI,40.77,-80.37,387
945,KBUU,42.68,-88.3,238
946,KBTA,41.42,-96.12,400
947,KBRY,37.82,-85.5,192
948,KBRG,34.65,-106.83,1585
949,KBQX,28.5,-95.72,34
950,KBQP,32.75,-91.88,50
951,KBQK,31.25,-81.47,7
952,KBPG,32.22,-101.52,782
953,KBPC,35.88,-101.03,844
954,KBNL,33.25,-81.38,76
955,KBMT,30.07,-94.22,8
956,KBKT,37.07,-77.95,134
957,KBKS,27.2,-98.12,34
958,KBKN,36.75,-97.35,208
959,KBKD,32.72,-98.88,383
960,KBJI,47.5,-94.92,422
961,KBIJ,31.4,-84.9,63
962,KBIE,40.28,-96.75,398
963,KBHC,31.72,-82.4,61
964,KBGF,35.18,-86.07,295
965,KBGE,30.97,-84.63,40
966,KBFR,38.83,-86.45,223
967,KBEC,37.7,-97.22,421
968,KBEA,28.37,-97.78,83
969,KBDU,40.03,-105.23,1614
970,KBDN,44.1,-121.2,1044
971,KBDH,45.12,-95.13,341
972,KBDG,37.58,-109.47,1778
973,KBCK,44.25,-90.85,256
974,KBCB,37.22,-80.42,642
975,KBBP,34.62,-79.73,44
976,KBBD,31.18,-99.32,554
977,KBBB,45.32,-95.65,315
978,KBAX,43.78,-82.98,229
979,KBAM,40.6,-116.87,1381
980,KBAC,46.93,-98.02,423
981,KAZE,31.88,-82.65,78
982,KAZC,36.97,-113.02,1476
983,KAYS,31.25,-82.4,42
984,KAXX,36.42,-105.28,2543
985,KAXV,40.5,-84.3,278
986,KAXS,34.7,-99.33,433
987,KAXH,29.52,-95.48,18
988,KAXA,43.07,-94.27,371
989,KAWG,41.27,-91.67,229
990,KAVQ,32.4,-111.22,618
991,KAVC,36.68,-78.05,119
992,KAUN,38.95,-121.08,453
993,KAUM,43.67,-92.92,376
994,KAUH,40.88,-98,549
995,KATS,32.85,-104.47,1073
996,KATP,27.2,-90.03,50
997,KATA,33.1,-94.2,85
998,KASW,41.27,-85.83,253
999,KASN,33.57,-86.05,159
1000,KASL,32.52,-94.3,104
1001,KARW,32.42,-80.63,2
1002,KARV,45.92,-89.72,494
1003,KARM,29.25,-96.15,29
1004,KAQX,32.98,-81.27,48
1005,KAQO,30.78,-98.67,334
1006,KAPY,26.97,-99.25,129
1007,KANW,42.57,-100,788
1008,KANQ,41.63,-85.08,299
1009,KAMN,43.32,-84.68,228
1010,KALM,32.83,-105.98,1267
1011,KAJZ,38.78,-108.07,1583
1012,KAJR,34.5,-83.55,441
1013,KAJG,38.62,-87.73,130
1014,KAIT,46.53,-93.67,367
1015,KAIO,41.4,-95.03,349
1016,KAIK,33.65,-81.68,155
1017,KAIG,45.15,-89.12,462
1018,KAHQ,41.23,-96.6,372
1019,KAGO,33.23,-93.22,91
1020,KAGI,27.55,-92.45,41
1021,KAFK,40.6,-95.85,353
1022,KAEL,43.68,-93.37,382
1023,KAEJ,38.82,-106.12,2420
1024,KADU,41.7,-94.92,391
1025,KADH,34.8,-96.67,301
1026,KACQ,44.07,-93.55,339
1027,KACJ,32.12,-84.18,140
1028,KACB,44.98,-85.2,189
1029,KAAS,37.35,-85.32,270
1030,KAAA,40.17,-89.33,179
1031,KA39,32.98,-111.92,391
1032,K9V9,43.77,-99.32,511
1033,K9S9,45.45,-119.68,498
1034,K9MN,44.02,-92.48,308
1035,K9D7,48.48,-99.23,451
1036,K9A5,34.68,-85.28,234
1037,K96D,48.93,-97.9,290
1038,K8W2,38.65,-78.7,295
1039,K8T6,28.37,-98.12,39
1040,K8B0,44.98,-70.65,552
1041,K8A0,34.23,-86.25,313
1042,K82C,43.83,-90.13,273
1043,K81R,31.23,-98.72,381
1044,K7W4,37.97,-77.75,115
1045,K7L2,46.22,-100.25,541
1046,K7BM,38.78,-106.22,2996
1047,K77S,43.93,-123,161
1048,K74V,40.28,-110.05,1567
1049,K6S2,43.98,-124.12,16
1050,K6S0,45.8,-109.97,1364
1051,K6R3,30.35,-95,44
1052,K6P9,32.43,-98.6,451
1053,K6L4,37.85,-81.92,504
1054,K6I2,37.63,-85.25,258
1055,K6B9,42.92,-76.43,306
1056,K6B0,43.98,-73.1,149
1057,K6A2,33.23,-84.27,290
1058,K6A1,32.57,-84.25,198
1059,K66R,29.65,-96.52,70
1060,K65S,48.73,-116.3,708
1061,K63S,48.53,-117.88,571
1062,K5T9,28.85,-100.52,269
1063,K5SM,39.43,-107.38,3229
1064,K5R8,30.43,-93.47,26
1065,K5H4,47.78,-99.93,490
1066,K57C,42.8,-88.37,454
1067,K54J,30.73,-86.15,87
1068,K54A,26.85,-82.25,2
1069,K4V1,37.7,-104.78,1847
1070,K4V0,40.1,-108.77,1602
1071,K4S2,45.68,-121.55,183
1072,K4S1,42.42,-124.42,7
1073,K4R5,46.78,-90.77,195
1074,K4O4,33.92,-94.87,148
1075,K4M9,36.4,-90.65,86
1076,K4I3,40.33,-82.53,361
1077,K4F2,32.18,-94.3,76
1078,K4BM,39.05,-105.52,3432
1079,K4A9,34.47,-85.72,273
1080,K4A6,34.68,-86,191
1081,K49A,34.63,-84.53,449
1082,K48A,32.4,-83.27,115
1083,K46U,43.18,-111.05,1718
1084,K46D,47.45,-99.15,488
1085,K42J,29.85,-82.05,57
1086,K41U,39.33,-111.6,1676
1087,K40U,40.98,-109.68,1882
1088,K3U3,46.15,-112.87,1534
1089,K3T5,29.9,-96.95,96
1090,K3S8,42.5,-123.4,339
1091,K3R7,30.25,-92.67,5
1092,K3N8,47.25,-95.92,379
1093,K3K3,38,-101.75,1010
1094,K3F3,32.07,-93.77,96
1095,K3D2,45.13,-87.18,233
1096,K3AU,37.67,-97.08,403
1097,K36K,37.97,-101.25,938
1098,K35A,34.68,-81.63,186
1099,K33V,40.75,-106.28,2486
1100,K33N,39.22,-75.6,17
1101,K2V5,40.1,-102.25,1117
1102,K2R9,28.82,-97.87,88
1103,K2P2,45.38,-86.92,182
1104,K2M2,35.23,-87.25,286
1105,K2J9,30.6,-84.55,62
1106,K2J5,32.9,-81.97,72
1107,K2J3,32.98,-82.38,97
1108,K2I0,37.35,-87.4,127
1109,K2G9,40.03,-79.02,677
1110,K2G4,39.58,-79.33,908
1111,K2D5,46.17,-98.08,407
1112,K2C8,48.78,-97.63,271
1113,K2A0,35.48,-84.93,219
1114,K28J,29.65,-81.68,9
1115,K24J,30.3,-83.03,30
1116,K22N,40.8,-75.77,159
1117,K21D,45,-92.85,281
1118,K20V,40.05,-106.37,2259
1119,K20U,46.93,-103.98,839
1120,K1V6,38.43,-105.1,1658
1121,K1U7,42.25,-111.33,1808
1122,K1S5,46.33,-119.97,228
1123,K1S3,46.27,-106.62,831
1124,K1R8,30.87,-87.82,76
1125,K1R7,31.6,-90.42,142
1126,K1P1,43.78,-71.75,155
1127,K1M5,36.6,-86.48,239
1128,K1H2,39.07,-88.53,174
1129,K1F0,34.15,-97.12,256
1130,K1D1,45.23,-96.57,340
1131,K1A9,32.43,-86.52,65
1132,K1A6,36.62,-83.73,348
1133,K19S,37.48,-100.83,886
1134,K18H,26.13,-92.03,30
1135,K17J,31,-84.87,42
1136,K15M,34.77,-88.17,192
1137,K14Y,45.9,-94.87,404
1138,K13K,37.85,-96.3,367
1139,K10G,40.53,-81.95,371
1140,K0VG,36.65,-83.22,426
1141,K0V4,37.15,-79.02,186
1142,K0S9,48.05,-122.82,33
1143,K0R0,31.3,-89.82,76
1144,K0F2,33.6,-97.78,330
1145,K0E0,34.98,-106,1887
1146,K0CO,39.8,-105.77,3804
1147,K0A9,36.37,-82.17,479
1148,K0A0,32.98,-106.97,1401
1149,K08D,48.3,-102.4,683
1150,K06D,48.88,-99.62,554
1151,K06C,41.98,-88.1,243
1152,CYVV,44.75,-81.1,221
1153,CYPY,58.77,-111.12,225
1154,CWPF,48.43,-123.43,5
1155,UASP,52.2,77.07,122
1156,PAZK,61.93,-147.17,1002
1157,PACZ,61.78,-166.03,129
1158,LTAD,39.95,32.68,813
1159,KOGD,41.2,-112.02,1356
1160,KNY0,42.98,-74.33,266
1161,KHHW,34.03,-95.55,178
1162,KCTB,48.6,-112.37,1172
1163,KCDD,48.27,-92.48,344
1164,KBPI,42.58,-110.1,2120
1165,KAVX,33.4,-118.42,482
1166,KSSF,29.33,-98.47,175
1167,KOWA,44.12,-93.25,345
1168,KORB,48.02,-92.87,407
1169,KMLT,45.65,-68.7,121
1170,KFOZ,47.77,-93.65,412
1171,KETH,45.78,-96.55,309
1172,KDVP,43.98,-95.78,493
1173,KDUB,43.55,-109.68,2205
1174,KAQP,45.22,-96,312
1175,CYDB,61.37,-139.02,807
1176,YMLT,-41.53,147.2,167
1177,PAFE,56.97,-133.92,1
1178,PACM,61.85,-165.57,3
1179,KJER,42.72,-114.45,1226
1180,KGOV,44.68,-84.73,350
1181,KFHR,48.52,-123.03,34
1182,CYYY,48.6,-68.22,43
1183,CYXR,47.7,-79.85,244
1184,PHLI,21.97,-159.33,32
1185,KSLC,40.77,-111.97,1286
1186,KDOV,39.12,-75.47,6
1187,YSCB,-35.3,149.18,577
1188,VCRI,6.28,81.13,50
1189,VCBI,7.17,79.88,10
1190,SBEG,-3.03,-60.03,69
1191,RKJB,34.98,126.38,16
1192,KXBP,33.18,-97.83,256
1193,KX26,27.82,-80.5,5
1194,KVES,40.2,-84.53,308
1195,KULS,37.6,-101.37,934
1196,KTMK,45.42,-123.82,8
1197,KT41,29.67,-95.07,8
1198,KSUT,33.93,-78.08,6
1199,KSNH,35.17,-88.22,142
1200,KS85,48.15,-104.5,596
1201,KQFT,,,
1202,KQEY,,,
1203,KQER,,,
1204,KPMP,26.25,-80.12,4
1205,KOLY,38.72,-88.18,144
1206,KNOW,48.13,-123.4,3
1207,KMQI,35.92,-75.7,3
1208,KM91,36.53,-86.92,214
1209,KM54,36.18,-86.32,168
1210,KM04,35.58,-89.58,83
1211,KLUV,32.75,-101.92,910
1212,KJNX,35.53,-78.38,41
1213,KIXA,36.33,-77.63,43
1214,KHZR,30.72,-91.48,11
1215,KHUL,46.12,-67.8,148
1216,KGNC,32.68,-102.65,1002
1217,KFYE,35.2,-89.38,133
1218,KFBG,35.12,-78.92,69
1219,KF45,26.85,-80.22,6
1220,KEYF,34.6,-78.58,39
1221,KEXX,35.78,-80.3,221
1222,KEDE,36.03,-76.57,4
1223,KDVK,37.58,-84.77,309
1224,KDLF,29.37,-100.78,328
1225,KCXW,35.02,-92.55,84
1226,KCPC,34.28,-78.72,27
1227,KCGS,38.98,-76.92,15
1228,KBTN,45.82,-97.75,400
1229,KBRO,25.92,-97.42,6
1230,KBMC,41.55,-112.07,1289
1231,KAST,46.15,-123.88,3
1232,KANK,38.53,-106.05,2293
1233,KAFO,42.72,-110.95,1881
1234,KADT,39.83,-101.05,899
1235,K8A3,36.42,-85.32,413
1236,K6S8,45.7,-108.77,1072
1237,K4U6,47.42,-105.57,739
1238,K2IS,26.73,-81.05,5
1239,K2G2,40.37,-80.7,365
1240,K1A5,35.22,-83.42,611
1241,K18A,34.35,-83.13,260
1242,K05U,39.6,-116,1813
1243,CWSW,49.83,-114.87,1173
1244,SAAR,-32.92,-60.77,24
1245,PHMK,21.15,-157.1,135
1246,LTAT,38.43,38.08,850
1247,KSNA,33.67,-117.87,14
1248,KRHP,35.18,-83.85,515
1249,KPAE,47.92,-122.28,166
1250,KMMV,45.2,-123.13,48
1251,KLGU,41.78,-111.85,1359
1252,KILG,39.67,-75.6,22
1253,KGRF,47.07,-122.57,91
1254,KFME,39.08,-76.77,43
1255,KBAZ,29.72,-98.05,199
1256,KAFP,35.02,-80.08,91
1257,K2W6,38.32,-76.55,40
1258,KUIL,47.93,-124.55,58
1259,KMLP,47.45,-115.67,1837
1260,KMKG,43.17,-86.23,190
1261,KDEW,47.97,-117.43,672
1262,K04V,38.1,-106.17,2389
1263,CYKJ,57.25,-105.62,519
1264,YPWR,-31.15,136.82,169
1265,KWVL,44.52,-69.67,87
1266,KPOE,31.05,-93.2,98
1267,KHQM,46.97,-123.93,4
1268,KBEH,42.13,-86.42,196
1269,CYBL,49.95,-125.27,94
1270,PASV,61.1,-155.57,462
1271,KHVR,48.55,-109.77,789
1272,KHDO,29.37,-99.17,280
1273,KAFF,38.97,-104.82,2003
1274,CYMT,49.77,-74.52,388
1275,MMSD,23.15,-109.72,107
1276,KW40,35.22,-78.03,50
1277,KW29,38.98,-76.33,1
1278,KVUJ,35.42,-80.15,174
1279,KUKF,36.22,-81.1,383
1280,KTTA,35.58,-79.1,71
1281,KTDF,36.28,-78.98,180
1282,KTCM,47.13,-122.47,87
1283,KSVH,35.75,-80.95,286
1284,KSIF,36.43,-79.85,206
1285,KSCR,35.7,-79.5,182
1286,KRUQ,35.65,-80.52,231
1287,KPGV,35.63,-77.4,6
1288,KONX,36.4,-76.02,4
1289,KOCW,35.57,-77.05,10
1290,KMWK,36.47,-80.55,374
1291,KMRN,35.82,-81.62,375
1292,KMRH,34.73,-76.65,2
1293,KMRC,35.55,-87.18,205
1294,KMCZ,,,
1295,KIPJ,35.48,-81.17,266
1296,KHRJ,35.38,-78.73,55
1297,KHBI,35.65,-79.9,199
1298,KGFA,47.5,-111.18,1058
1299,KGEV,36.43,-81.42,961
1300,KFQD,35.42,-81.93,325
1301,KENV,40.72,-114.02,1291
1302,KEHO,35.25,-81.6,261
1303,KDPL,35,-77.97,39
1304,KDMW,39.6,-77,239
1305,KCTZ,34.98,-78.37,43
1306,KCGE,38.53,-76.03,5
1307,KASJ,36.28,-77.17,20
1308,KACZ,,,
1309,K24A,35.32,-83.2,864
1310,RJTE,34.98,139.82,3
1311,MTCH,19.75,-72.18,3
1312,KBOI,43.57,-116.23,860
1313,CYKF,43.47,-80.38,312
1314,SVVL,9.33,-70.58,575
1315,SVVA,10.15,-67.92,428
1316,SVSR,7.87,-67.43,49
1317,SVSA,7.83,-72.45,383
1318,SVPR,8.3,-62.77,140
1319,SVPA,5.62,-67.6,77
1320,SVMT,9.75,-63.17,67
1321,SVMI,10.6,-67,48
1322,SVMG,10.92,-63.97,16
1323,SVMC,10.57,-71.72,76
1324,SVLO,11.8,-66.18,3
1325,SVJM,9.92,-67.38,448
1326,SVGU,9.03,-69.75,165
1327,SVGD,7.22,-70.75,129
1328,SVFM,10.48,-66.83,852
1329,SVCS,10.3,-66.82,656
1330,SVCB,8.12,-63.53,47
1331,SVBS,10.25,-67.65,435
1332,SVBM,10.05,-69.37,624
1333,SVBI,8.62,-70.22,185
1334,SVBC,10.12,-64.68,7
1335,MTPP,18.57,-72.3,36
1336,KPUW,46.75,-117.12,774
1337,KDTS,30.4,-86.47,5
1338,CYOJ,58.62,-117.17,339
1339,CYBC,49.13,-68.2,20
1340,PAHX,62.7,-159.57,20
1341,KHLN,46.6,-111.98,1178
1342,KCQT,34.02,-118.28,51
1343,PAFS,63.02,-154.35,131
1344,MMAS,21.7,-102.32,1866
1345,KMSO,46.92,-114.1,974
1346,ZYTX,41.63,123.48,56
1347,ZYTL,38.97,121.55,33
1348,ZYHB,45.62,126.25,134
1349,ZYCC,43.98,125.68,211
1350,ZWWW,43.9,87.47,654
1351,ZWSH,39.55,76.02,1374
1352,ZUUU,30.58,103.95,494
1353,ZUTF,30.3,104.43,443
1354,ZUGY,26.53,106.8,1130
1355,ZUCK,29.72,106.63,416
1356,ZSSS,31.2,121.33,2
1357,ZSQD,36.27,120.38,8
1358,ZSPD,31.15,121.8,4
1359,ZSOF,31.98,116.97,23
1360,ZSNJ,31.75,118.87,27
1361,ZSNB,29.83,121.47,5
1362,ZSHC,30.22,120.43,8
1363,ZSFZ,25.93,119.67,14
1364,ZSAM,24.53,118.13,13
1365,ZPPP,25,102.65,1885
1366,ZMUB,47.83,106.75,1300
1367,ZMCK,47.65,106.82,1366
1368,ZLXY,34.43,108.75,478
1369,ZLLL,36.52,103.62,1939
1370,ZJSY,18.3,109.42,27
1371,ZJHK,19.93,110.43,21
1372,ZHHH,30.78,114.22,33
1373,ZHCC,34.52,113.83,149
1374,ZGSZ,22.63,113.8,18
1375,ZGOW,23.55,116.5,4
1376,ZGNN,22.62,108.17,128
1377,ZGKL,25.22,110.03,151
1378,ZGHA,28.18,113.22,61
1379,ZGGG,23.4,113.3,11
1380,ZBYN,37.73,112.63,778
1381,ZBTJ,39.12,117.35,4
1382,ZBSJ,38.28,114.7,70
1383,ZBHH,40.85,111.82,1081
1384,ZBAD,39.5,116.42,25
1385,ZBAA,40.07,116.6,31
1386,YWLM,-32.8,151.83,7
1387,YSTW,-31.08,150.85,404
1388,YSSY,-33.95,151.17,3
1389,YSRI,-33.6,150.77,19
1390,YSNF,-29.03,167.93,113
1391,YSDU,-32.22,148.57,285
1392,YPTN,-14.52,132.38,135
1393,YPPH,-31.93,115.98,16
1394,YPPD,-20.37,118.62,6
1395,YPLM,-22.23,114.08,5
1396,YPKU,-15.77,128.7,42
1397,YPKG,-30.78,121.45,372
1398,YPJT,-32.1,115.88,29
1399,YPEA,-31.67,116.02,38
1400,YPDN,-12.42,130.9,32
1401,YPCC,-12.18,96.83,3
1402,YPAD,-34.95,138.52,2
1403,YMML,-37.67,144.82,115
1404,YMHB,-42.83,147.52,2
1405,YMAV,-38.03,144.48,11
1406,YLHI,-31.53,159.07,2
1407,YHID,-10.58,142.3,5
1408,YGLA,-23.87,151.22,17
1409,YGEL,-28.8,114.7,32
1410,YFRT,-30.83,128.12,159
1411,YCIN,-17.58,123.83,83
1412,YCFS,-30.32,153.12,2
1413,YBWW,-27.55,151.8,460
1414,YBTL,-19.25,146.75,4
1415,YBSU,-26.6,153.08,4
1416,YBRM,-17.93,122.23,11
1417,YBRK,-23.37,150.47,10
1418,YBMA,-20.67,139.48,346
1419,YBLN,-33.68,115.4,17
1420,YBHM,-20.35,148.95,4
1421,YBCS,-16.87,145.75,2
1422,YBCG,-28.17,153.5,5
1423,YBBN,-27.38,153.13,3
1424,YBAS,-23.8,133.9,549
1425,YAMB,-27.63,152.72,26
1426,WSSS,1.37,103.97,17
1427,WSSL,1.42,103.87,11
1428,WSAP,1.37,103.92,20
1429,WMSA,3.13,101.55,19
1430,WMKP,5.28,100.27,4
1431,WMKN,5.37,103.1,12
1432,WMKM,2.27,102.25,9
1433,WMKL,6.32,99.72,4
1434,WMKK,2.75,101.72,21
1435,WMKJ,1.63,103.67,38
1436,WMKI,4.57,101.08,37
1437,WMKE,4.53,103.43,5
1438,WMKD,3.77,103.22,18
1439,WMKC,6.17,102.28,7
1440,WMKB,5.47,100.38,4
1441,WMKA,6.2,100.4,5
1442,WMBA,4.22,100.7,9
1443,WMAU,2.38,103.88,5
1444,WIPP,-2.88,104.7,7
1445,WIOO,-0.15,109.4,4
1446,WIMM,3.57,98.67,27
1447,WIII,-6.13,106.67,9
1448,WIEE,-0.78,100.28,5
1449,WIDD,1.12,104.12,26
1450,WBSB,4.93,114.92,15
1451,WBKW,4.32,118.12,17
1452,WBKT,6.92,116.83,11
1453,WBKL,5.3,115.25,29
1454,WBKK,5.93,116.05,9
1455,WBGY,1.22,111.45,13
1456,WBGS,2.27,111.98,26
1457,WBGR,4.32,113.98,18
1458,WBGG,1.48,110.35,26
1459,WBGB,3.12,113.02,34
1460,WATT,-10.17,123.67,104
1461,WARR,-7.37,112.78,3
1462,WAPP,-3.7,128.08,20
1463,WAOO,-3.45,114.77,23
1464,WAMM,1.55,124.92,86
1465,WALL,-1.27,116.9,3
1466,WAJJ,-2.58,140.52,93
1467,WAHS,-6.98,110.38,3
1468,WADL,-8.75,116.28,97
1469,WADD,-8.73,115.17,3
1470,WABB,-1.18,136.12,12
1471,WAAA,-5.07,119.55,13
1472,VVVD,21.12,107.42,8
1473,VVTS,10.82,106.67,10
1474,VVPB,16.38,107.7,15
1475,VVNB,21.22,105.8,6
1476,VVDN,16.03,108.2,7
1477,VVCT,10.08,105.72,6
1478,VVCR,12,109.22,12
1479,VVCI,20.82,106.73,6
1480,VTUU,15.25,104.87,119
1481,VTUK,16.47,102.78,190
1482,VTSS,6.92,100.38,28
1483,VTSP,8.12,98.32,12
1484,VTSG,8.1,98.98,32
1485,VTCT,19.95,99.88,389
1486,VTCC,18.77,98.97,308
1487,VTBU,12.68,101,12
1488,VTBS,13.68,100.75,1
1489,VTBD,13.92,100.6,6
1490,VRMM,4.2,73.52,2
1491,VRMH,6.75,73.17,1
1492,VRMG,-0.7,73.15,2
1493,VOTR,10.77,78.72,90
1494,VOMM,13,80.17,7
1495,VOML,12.97,74.88,100
1496,VOKN,11.92,75.55,105
1497,VOGA,,,
1498,VOCL,11.13,75.95,104
1499,VOCI,10.15,76.4,8
1500,VOCB,11.02,77.03,394
1501,VOBL,13.2,77.7,908
1502,VNKT,27.68,85.37,1334
1503,VMMC,22.15,113.58,1
1504,VIUT,25.82,71.48,152
1505,VILK,26.75,80.88,121
1506,VIJP,26.82,75.8,383
1507,VIDP,28.57,77.12,236
1508,VIAR,31.7,74.8,226
1509,VHHH,22.32,113.92,9
1510,VGHS,23.85,90.4,11
1511,VERC,23.32,85.32,646
1512,VEPT,25.6,85.08,53
1513,VEGY,24.75,84.95,115
1514,VEGT,26.1,91.58,50
1515,VECC,22.65,88.43,11
1516,VEBS,20.25,85.82,42
1517,VEBN,25.45,82.85,81
1518,VDSV,10.58,103.63,1
1519,VDSR,13.42,103.8,16
1520,VDPP,11.55,104.83,10
1521,VANP,21.08,79.05,309
1522,VAID,22.72,75.8,564
1523,VABP,23.28,77.33,520
1524,VABB,19.1,72.87,14
1525,VAAH,23.07,72.63,52
1526,UWWW,53.5,50.17,124
1527,UWUU,54.57,55.87,137
1528,UWSG,51.72,46.17,31
1529,UWPS,54.12,45.2,206
1530,UWOR,51.07,58.6,270
1531,UWOO,51.8,55.47,90
1532,UWLW,54.4,48.8,67
1533,UWLL,54.27,48.23,119
1534,UWKS,56.08,47.35,165
1535,UWKE,55.57,52.08,193
1536,UWKD,55.62,49.28,114
1537,UWGG,56.23,43.78,73
1538,UUYY,61.65,50.83,107
1539,UUWW,55.6,37.27,195
1540,UUOO,51.82,39.23,154
1541,UUOL,52.7,39.53,176
1542,UUOK,51.75,36.28,203
1543,UUOB,50.65,36.58,218
1544,UUMO,55.52,37.5,167
